year,region,crop,area_ha,production_ton,yield_kgha,source,crop_en,wheat_hrw_usd_t,wheat_srw_usd_t,barley_usd_t,maize_usd_t,rapeseed_oil_usd_t,sunflower_oil_usd_t,soybean_oil_usd_t,palm_oil_usd_t,dap_fertilizer_usd_t,urea_fertilizer_usd_t,gs_t2m_kelvin,gs_precip_m,gs_pot_evap_m,gs_soil_water_l1,gs_soil_water_l2,gs_solar_rad_jm2,gs_t2m_celsius,gs_precip_mm,gs_pot_evap_mm,gs_solar_rad_mjm2,soil_bdod,soil_cec,soil_clay,soil_nitrogen,soil_phh2o,soil_sand,soil_silt,soil_soc,yield_kgha_lag1,yield_kgha_lag2,yield_kgha_lag3,yield_kgha_roll3,yield_kgha_roll5,wheat_price_lag1,wheat_price_lag2,wheat_price_lag3
2011,Северо-Казахстанская область,Подсолнечник,30015.0,20976.7,750.0,stat_gov_kz_real,Sunflower seed,316.2641325585392,285.9133463029892,207.1969187051708,291.68407333333334,1362.82,1597.7091666666663,1297.66,1193.37,516.2875,398.92291666666665,288.9216230569704,0.0014601070203489,-0.0070899073681482,0.2909694036095574,0.2833584905739212,18794073.85085056,15.773333333333332,44.56666666666666,216.66333333333333,573.933,1.0423529411764707,34.688235294117646,26.17058823529412,4.888235294117647,7.0,41.75294117647059,32.076470588235296,61.26470588235294,320.0,370.0,560.0,1304.4466666666667,1368.6680000000001,223.5821054048625,224.06988173743412,326.03004623959333
2012,Северо-Казахстанская область,Подсолнечник,22883.0,20972.5,920.0,stat_gov_kz_real,Sunflower seed,313.2422696110684,295.3661879274459,240.28063808774667,298.41696413768085,1237.7083333333333,1447.6450000000002,1225.6025,1043.3975,480.23819444444416,398.6006944444442,290.93738155470345,0.0010507578964652,-0.0080993232349013,0.2612914912837039,0.2573745081478069,19641224.144156728,17.788333333333334,32.123333333333335,247.46833333333333,599.8488333333333,1.0423529411764707,34.688235294117646,26.17058823529412,4.888235294117647,7.0,41.75294117647059,32.076470588235296,61.26470588235294,750.0,320.0,370.0,1531.1133333333335,1438.6680000000001,316.2641325585392,223.5821054048625,224.06988173743412
2013,Северо-Казахстанская область,Подсолнечник,35765.0,36777.6,1030.0,stat_gov_kz_real,Sunflower seed,312.2478668979183,276.733461739185,203.00875833333248,259.38922323787915,1084.2666666666669,1155.4075,1055.3933333333332,870.7258333333333,410.97291666666666,339.6145833333333,288.2797983402536,0.0016535991296397,-0.0068201682835203,0.3102898914991443,0.3057897520317299,18460322.17355969,15.13,50.803333333333335,208.11,563.3321666666667,1.0423529411764707,34.688235294117646,26.17058823529412,4.888235294117647,7.0,41.75294117647059,32.076470588235296,61.26470588235294,920.0,750.0,320.0,,,313.2422696110684,316.2641325585392,223.5821054048625
2014,Северо-Казахстанская область,Подсолнечник,44903.0,30175.5,770.0,stat_gov_kz_real,Sunflower seed,284.8859214,245.21163752025,145.90297638888916,192.8812195333333,911.6633333333334,920.2958333333332,905.9691666666666,837.4691666666666,429.5864583333334,308.4375,288.377987821669,0.0011481597550606,-0.0075099680184316,0.2770251277388499,0.2742088987656154,19137151.863283142,15.228333333333332,35.160000000000004,229.425,584.1971666666667,1.0423529411764707,34.688235294117646,26.17058823529412,4.888235294117647,7.0,41.75294117647059,32.076470588235296,61.26470588235294,1030.0,920.0,750.0,,,312.2478668979183,313.2422696110684,316.2641325585392
2015,Северо-Казахстанская область,Подсолнечник,31880.0,28337.674,890.0,stat_gov_kz_real,Sunflower seed,204.449128614,206.37664030275,121.33064930555668,169.75022306666668,784.6475,888.4775,755.6325,663.3908333333333,416.62395833333335,277.9375,288.68033360979234,0.00132469694655,-0.0071580944485533,0.2993542451750579,0.2902930132679188,18980036.87247777,15.53,40.525,218.8066666666667,579.2955000000001,1.0423529411764707,34.688235294117646,26.17058823529412,4.888235294117647,7.0,41.75294117647059,32.076470588235296,61.26470588235294,770.0,1030.0,920.0,,,284.8859214,312.2478668979183,313.2422696110684
2016,Северо-Казахстанская область,Подсолнечник,47740.0,47675.350000000006,1100.0,stat_gov_kz_real,Sunflower seed,166.63254345,176.30378359124998,103.91568229166752,159.1608872,827.7416666666667,867.3208333333333,814.9941666666667,735.7033333333334,315.81354166666665,194.1291666666667,289.3174390902713,0.0014573630123714,-0.0069543573753669,0.294249706853587,0.2916540603179201,18756816.40351812,16.166666666666668,44.406666666666666,212.52,573.0355,1.0423529411764707,34.688235294117646,26.17058823529412,4.888235294117647,7.0,41.75294117647059,32.076470588235296,61.26470588235294,890.0,770.0,1030.0,1323.3333333333333,,204.449128614,284.8859214,312.2478668979183
2017,Северо-Казахстанская область,Подсолнечник,71306.0,98593.0,1390.0,stat_gov_kz_real,Sunflower seed,174.195615525,178.18260991725,97.63863923611082,154.53153846666666,879.8158333333334,817.8850000000001,850.3966666666666,750.8133333333334,323.02708333333334,213.875,288.9705927351684,0.0011114836197021,-0.0075440171387582,0.2825224864271158,0.2781774573929977,19382244.038613398,15.821666666666667,33.946666666666665,230.57,591.9103333333334,1.0423529411764707,34.688235294117646,26.17058823529412,4.888235294117647,7.0,41.75294117647059,32.076470588235296,61.26470588235294,1100.0,890.0,770.0,1640.0,,166.63254345,204.449128614,284.8859214
2018,Северо-Казахстанская область,Подсолнечник,68619.0,73981.90000000001,1100.0,stat_gov_kz_real,Sunflower seed,209.9288346,203.89093102725,125.88533298611252,164.4145468,830.0308333333332,765.4966666666666,789.1175,638.6558333333334,393.425,249.4495833333333,287.5128957712755,0.0014503846345327,-0.0069442679131643,0.3086804201389621,0.3001793099058934,18310602.204555143,14.363333333333337,44.34,212.23666666666668,559.1358333333334,1.0423529411764707,34.688235294117646,26.17058823529412,4.888235294117647,7.0,41.75294117647059,32.076470588235296,61.26470588235294,1390.0,1100.0,890.0,,,174.195615525,166.63254345,204.449128614
2019,Северо-Казахстанская область,Подсолнечник,33562.0,32737.94,980.0,stat_gov_kz_real,Sunflower seed,201.692128575,211.27579630275,128.06698819444333,170.07008806666667,857.1866666666666,741.1033333333334,765.44,601.3666666666667,306.355,245.28166666666667,288.51084568493604,0.0011711310170603,-0.0076537846395652,0.2814676492717734,0.2726801280476322,19254150.837210964,15.361666666666666,35.598333333333336,234.22166666666664,588.3721666666667,1.0423529411764707,34.688235294117646,26.17058823529412,4.888235294117647,7.0,41.75294117647059,32.076470588235296,61.26470588235294,1100.0,1390.0,1100.0,,,209.9288346,174.195615525,166.63254345
2020,Северо-Казахстанская область,Подсолнечник,22205.0,26028.1,1170.0,stat_gov_kz_real,Sunflower seed,231.56548795,227.73879764625,97.60036458333,165.46600046666666,906.4321537216824,880.988337850045,837.75632231405,751.7661576212475,312.4241666666667,229.10083333333333,289.9538020794767,0.0012597873466308,-0.0080705725732581,0.276060137702878,0.2732565470740767,19376478.22856872,16.80333333333333,38.461666666666666,246.525,591.8266666666667,1.0423529411764707,34.688235294117646,26.17058823529412,4.888235294117647,7.0,41.75294117647059,32.076470588235296,61.26470588235294,980.0,1100.0,1390.0,,,201.692128575,209.9288346,174.195615525
2021,Северо-Казахстанская область,Подсолнечник,62090.0,69730.03000000001,1130.0,stat_gov_kz_real,Sunflower seed,315.2375,281.6606065851818,,259.54567977893333,1502.3308333333334,1404.0939758355908,1385.4066666666668,1130.5766666666666,600.9633333333333,483.2075,289.6146452650336,0.0008681891764509,-0.0080879491835072,0.2622693385039119,0.2612102771864736,20071941.32876677,16.463333333333335,26.516666666666666,247.2783333333333,612.924,1.0423529411764707,34.688235294117646,26.17058823529412,4.888235294117647,7.0,41.75294117647059,32.076470588235296,61.26470588235294,1170.0,980.0,1100.0,,,231.56548795,201.692128575,209.9288346
2022,Северо-Казахстанская область,Подсолнечник,118650.14,152624.37,1290.0,stat_gov_kz_real,Sunflower seed,429.9716666666666,381.91843016614285,,318.80665693333333,1756.7299999999998,1650.8083333333334,1666.7975,1275.9916666666666,772.1583333333333,700.015,289.6616435210072,0.0008509126076215,-0.0075598182709188,0.2621602812110037,0.2593293952638909,18879427.97251497,16.513333333333332,26.05666666666667,231.15833333333333,576.7293333333333,1.0423529411764707,34.688235294117646,26.17058823529412,4.888235294117647,7.0,41.75294117647059,32.076470588235296,61.26470588235294,1130.0,1170.0,980.0,,,315.2375,231.56548795,201.692128575
