time,t2m_kelvin,precip_m,pot_evap_m,soil_water_l1,soil_water_l2,solar_rad_jm2,year,month,t2m_celsius,precip_mm,pot_evap_mm,solar_rad_mjm2,source
2012-05-01,288.4440979219144,0.0009794379830358087,-0.008532266970002231,0.2648212573735435,0.26517629774543305,22000085.068119925,2012,5,15.29,30.36,264.5,682.003,ERA5_real
2012-06-01,295.0077327629114,0.0014996147714399627,-0.00939474534365047,0.24400110032957062,0.22897099741124982,22556619.102236006,2012,6,21.86,44.99,281.84,676.699,ERA5_real
2012-07-01,297.3255557525535,0.0014930252849478022,-0.010184284911987519,0.2347962065285275,0.23025701805110463,22873979.678187735,2012,7,24.18,46.28,315.71,709.093,ERA5_real
2012-08-01,293.9791304469579,0.0011435659389324247,-0.008223280846899952,0.25550983514701237,0.24200815188482852,18798392.590786245,2012,8,20.83,35.45,254.92,582.75,ERA5_real
2012-09-01,286.8418565464132,0.0006987776823695474,-0.005836297819904989,0.24942332515961838,0.23751496688969914,12300237.473954482,2012,9,13.69,20.96,175.09,369.007,ERA5_real
2012-10-01,279.1134803395341,0.0009323847428477377,-0.0031232892920336646,0.2916922639405461,0.25320728401197906,6671240.965819315,2012,10,5.96,28.9,96.82,206.808,ERA5_real
2012-11-01,268.93433923598076,0.0015561694074413181,-0.000909160033774981,0.31612835312432264,0.29190512020071196,3397712.9794450533,2012,11,-4.22,46.69,27.27,101.931,ERA5_real
2012-12-01,253.55896540158386,0.0007690907637636339,-0.00010998546054130793,0.30824103443899964,0.29355392346258974,3044165.122150106,2012,12,-19.59,23.84,3.41,94.369,ERA5_real
2013-01-01,259.3461620033718,0.0010072957197741514,-7.777499175637808e-05,0.3010009899246679,0.2862258106466866,3863874.9483648534,2013,1,-13.8,31.23,2.41,119.78,ERA5_real
2013-02-01,261.96238216281023,0.0005905195171654682,-0.00022807800081091784,0.29847867621607294,0.28264979637913834,7392647.148829619,2013,2,-11.19,16.53,6.39,206.994,ERA5_real
2013-03-01,269.0178998768172,0.0011909566154712124,-0.0009243128361928433,0.3668384371660212,0.33157802672379755,12273141.731540486,2013,3,-4.13,36.92,28.65,380.467,ERA5_real
2013-04-01,280.6571161422132,0.0013803842010851701,-0.004511082924605613,0.38760841000269,0.3806075584372091,16800245.68555994,2013,4,7.51,41.41,135.33,504.007,ERA5_real
