year,region,crop,district,area_ha,production_ton,yield_kgha,source
2022,Костанайская область,Подсолнечник,Область (итого),158600.0,152120.0,960.0,stat_gov_kz_real
2023,Костанайская область,Подсолнечник,Область (итого),162425.6,166363.09,1190.0,stat_gov_kz_real
2024,Костанайская область,Подсолнечник,Область (итого),154912.17,222587.77999999997,1460.0,stat_gov_kz_real
2025,Костанайская область,Подсолнечник,Область (итого),264456.9,373961.27,1440.0,stat_gov_kz_real
1990,Костанайская область,Пшеница,Область (итого),2780600.0,3870669.9999999995,1390.0,stat_gov_kz_real
1991,Костанайская область,Пшеница,Область (итого),3392400.0,1312900.0,390.0,stat_gov_kz_real
1992,Костанайская область,Пшеница,Область (итого),3314900.0,4878360.0,1470.0,stat_gov_kz_real
1993,Костанайская область,Пшеница,Область (итого),2936500.0,2276850.0,780.0,stat_gov_kz_real
1994,Костанайская область,Пшеница,Область (итого),2915000.0,2635870.0,900.0,stat_gov_kz_real
1995,Костанайская область,Пшеница,Область (итого),2967800.0,1243250.0,420.0,stat_gov_kz_real
1996,Костанайская область,Пшеница,Область (итого),2895300.0,1873550.0,650.0,stat_gov_kz_real
1997,Костанайская область,Пшеница,Область (итого),2714800.0,2563700.0,980.0000000000001,stat_gov_kz_real
1998,Костанайская область,Пшеница,Область (итого),2522900.0,874300.0,400.0,stat_gov_kz_real
1999,Костанайская область,Пшеница,Область (итого),2178100.0,3299450.0,1510.0,stat_gov_kz_real
2000,Костанайская область,Пшеница,Область (итого),2504900.0,2694390.0000000005,1060.0,stat_gov_kz_real
2001,Костанайская область,Пшеница,Область (итого),2638600.0,3112390.0000000005,1180.0,stat_gov_kz_real
2002,Костанайская область,Пшеница,Область (итого),2735200.0,3217279.9999999995,1180.0,stat_gov_kz_real
2003,Костанайская область,Пшеница,Область (итого),2717700.0,3026180.0,1110.0,stat_gov_kz_real
2004,Костанайская область,Пшеница,Область (итого),2786200.0,2217859.9999999995,800.0,stat_gov_kz_real
2005,Костанайская область,Пшеница,Область (итого),3149800.0,3256560.0,1040.0,stat_gov_kz_real
2006,Костанайская область,Пшеница,Область (итого),3307100.0,4320219.999999999,1330.0,stat_gov_kz_real
2007,Костанайская область,Пшеница,Область (итого),3671800.0,5442680.0,1490.0,stat_gov_kz_real
2008,Костанайская область,Пшеница,Область (итого),3844600.0,4415620.0,1150.0,stat_gov_kz_real
2009,Костанайская область,Пшеница,Область (итого),4210800.0,4626430.0,1100.0,stat_gov_kz_real
2010,Костанайская область,Пшеница,Область (итого),4023400.0,2858920.0,730.0,stat_gov_kz_real
2011,Костанайская область,Пшеница,Область (итого),4018100.0,7341280.000000001,1830.0,stat_gov_kz_real
2012,Костанайская область,Пшеница,Область (итого),3950500.0,2246130.0,613.33,stat_gov_kz_real
2013,Костанайская область,Пшеница,Область (итого),4014400.0,3844880.0,959.61,stat_gov_kz_real
2014,Костанайская область,Пшеница,Область (итого),3747400.0,3616669.9999999995,986.88,stat_gov_kz_real
2015,Костанайская область,Пшеница,Область (итого),3579700.0,4061280.0,1135.76,stat_gov_kz_real
2016,Костанайская область,Пшеница,Область (итого),3810410.0,3991262.9299999997,1048.81,stat_gov_kz_real
2017,Костанайская область,Пшеница,Область (итого),3704900.0,4193760.0,1130.0,stat_gov_kz_real
2018,Костанайская область,Пшеница,Область (итого),3464000.0,3923590.0,1130.0,stat_gov_kz_real
2019,Костанайская область,Пшеница,Область (итого),3264600.0,2330630.0,727.13,stat_gov_kz_real
2020,Костанайская область,Пшеница,Область (итого),3436600.0,3454980.0000000005,1019.9999999999999,stat_gov_kz_real
2021,Костанайская область,Пшеница,Область (итого),3643300.0,2587340.0,720.0,stat_gov_kz_real
2022,Костанайская область,Пшеница,Область (итого),3527200.0,4809230.000000001,1370.0,stat_gov_kz_real
2023,Костанайская область,Пшеница,Область (итого),3806265.4,3800168.4700000007,1050.0,stat_gov_kz_real
2024,Костанайская область,Пшеница,Область (итого),3675603.65,4755500.0,1300.0,stat_gov_kz_real
2025,Костанайская область,Пшеница,Область (итого),3398930.55,5400666.24,1600.0,stat_gov_kz_real
1990,Костанайская область,Ячмень,Область (итого),835199.9999999999,1470300.0,1760.0000000000002,stat_gov_kz_real
1991,Костанайская область,Ячмень,Область (итого),891199.9999999999,331100.0,370.0,stat_gov_kz_real
1992,Костанайская область,Ячмень,Область (итого),775800.0,1428600.0,1839.9999999999998,stat_gov_kz_real
1993,Костанайская область,Ячмень,Область (итого),1183399.9999999998,1123300.0,950.0,stat_gov_kz_real
1994,Костанайская область,Ячмень,Область (итого),943799.9999999999,1151300.0,1220.0,stat_gov_kz_real
1995,Костанайская область,Ячмень,Область (итого),733800.0000000001,257899.99999999997,350.0,stat_gov_kz_real
